No.,変電所名,照合結果,記入した列,既存値との差異(未上書き),CSV/バンク
268,清里変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
269,渡島当別変電所,一致なし,,,
270,港南変電所,一致なし,,,
271,湖南変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
272,湖畔変電所,一致なし,,,
273,湯の里変電所,一致なし,,,
274,湯川変電所,一致なし,,,
275,滝の上変電所,一致(22/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
276,滝川変電所,一致なし,,,
277,潮見変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
278,澄川変電所,一致なし,,,
279,然別第一変電所,一致なし,,,
280,然別第二変電所,一致なし,,,
281,熊石変電所,一致なし,,,
282,猿払変電所,一致(33/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
283,琴似変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local07_Tr_202607_01.csv
284,生田原変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
285,田端変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
286,由仁変電所,一致なし,,,
287,留産変電所,一致なし,,,
288,留萌変電所,一致なし,,,
289,発寒変電所,一致なし,,,
290,登別変電所,一致なし,,,
291,登別青葉変電所,一致なし,,,
292,白滝変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
293,白石変電所,一致なし,,,
294,白糠変電所,一致なし,,,
295,白老変電所,一致なし,,,
296,相内変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local04_Tr_202607_01.csv
297,相沼内変電所,一致なし,,,
298,真駒内変電所,一致なし,,,
299,石川変電所,一致なし,,,
300,石狩変電所,一致(66/6.6kV),"vsec,cap,opcap,avail,avail_up,n1,curtail",,sys_capa_local07_Tr_202607_01.csv
301,砂川変電所,一致なし,,,
302,磯分内変電所,一致なし,,,
303,磯谷川第二変電所,一致なし,,,
304,祝津変電所,一致なし,,,
305,神居変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
306,福島変電所,一致なし,,,
307,秋月変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local02_Tr_202607_01.csv
308,稚内恵北開閉所,一致なし,,,
309,稲美変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
310,穂別変電所,一致なし,,,
311,竹浦変電所,一致なし,,,
312,紋別変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",vsec: 既存22→CSV6.6,sys_capa_local04_Tr_202607_01.csv
313,網走変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
314,緑町変電所,一致なし,,,
315,羅臼変電所,一致なし,,,
316,美しが丘変電所,一致なし,,,
317,美唄変電所,一致なし,,,
318,美幌変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local05_Tr_202607_01.csv
319,美流渡変電所,一致なし,,,
320,美深変電所,一致(100/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
321,美瑛変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local03_Tr_202607_01.csv
322,羽幌変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
323,興部変電所,一致(66/22kV),"cap,opcap,flow",,sys_capa_local04_Tr_202607_01.csv
324,舌辛変電所,一致なし,,,
325,色内変電所,一致なし,,,
326,芦別変電所,一致なし,,,
327,芦川変電所,一致(33/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
328,芽室変電所,一致なし,,,
329,苫前変電所,一致(66/6.6kV),"cap,opcap,avail,avail_up",,sys_capa_local01_Tr_202607_01.csv
330,苫小牧中央変電所,一致なし,,,
331,茂尻変電所,一致なし,,,
332,茅沼変電所,一致なし,,,
